Store Name,Year,Month,Taxable Sales,Non-Taxable Sales,Total Store Sales,Cash,Credit Card,Transaction Count,Total Paidout
Blue Creek General Store [101350],2023,April,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,August,"$60,755.96","$72,515.23","$137,677.94","$78,418.65","$52,321.73",8593,$559.25
Blue Creek General Store [101350],2023,December,"$85,719.45","$75,414.55","$167,391.55","$87,681.78","$66,689.64",9460,$420.39
Blue Creek General Store [101350],2023,February,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,January,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,July,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,June,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,March,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,May,$0.00,$0.00,$0.00,N/A,N/A,0,N/A
Blue Creek General Store [101350],2023,November,"$82,767.41","$86,379.91","$175,150.67","$99,852.01","$69,451.05",10172,$985.91
Blue Creek General Store [101350],2023,October,"$74,981.81","$84,683.60","$165,103.58","$88,403.29","$69,700.72",10258,"$1,285.99"
Blue Creek General Store [101350],2023,September,"$77,214.81","$91,317.98","$174,132.19","$95,182.87","$68,746.88",10298,$375.02
Blue Creek General Store [101350],2024,April,"$80,515.25","$93,569.93","$179,922.64","$95,801.74","$71,556.85",10041,$602.73
Blue Creek General Store [101350],2024,August,"$93,935.27","$95,495.13","$196,240.78","$96,497.50","$86,368.97",10950,$296.44
Blue Creek General Store [101350],2024,December,"$86,918.97","$83,468.04","$176,688.72","$84,682.04","$78,477.59",9392,$856.72
Blue Creek General Store [101350],2024,February,"$69,251.27","$76,561.46","$150,833.72","$79,270.91","$59,920.21",8716,$626.61
Blue Creek General Store [101350],2024,January,"$69,579.49","$67,755.30","$142,374.56","$77,906.09","$55,012.43",8322,$401.67
Blue Creek General Store [101350],2024,July,"$94,944.54","$94,185.13","$196,013.29","$100,604.67","$85,987.32",11071,$577.12
Blue Creek General Store [101350],2024,June,"$93,572.52","$93,756.36","$194,112.99","$100,470.57","$81,873.99",10985,$228.17
Blue Creek General Store [101350],2024,March,"$82,112.02","$88,750.95","$176,816.35","$93,133.29","$72,343.74",10097,$156.10
Blue Creek General Store [101350],2024,May,"$90,292.65","$95,112.27","$191,951.27","$99,412.55","$81,563.44",10526,$985.42
Blue Creek General Store [101350],2024,November,"$83,263.43","$90,885.50","$180,185.64","$86,419.07","$81,137.92",9693,"$1,041.32"
Blue Creek General Store [101350],2024,October,"$83,973.89","$88,104.28","$178,166.37","$95,560.15","$73,887.05",10113,$211.52
